parameter,family,shape1,shape2,range
k_prep,Log-normal,mu=-2.99,sigma=0.28,"(0,inf)"
k_resist,Log-normal,mu=-2.66,sigma=0.24,"(0,inf)"
k_restore,Log-normal,mu=-2.12,sigma=0.31,"(0,inf)"
k_adapt,Log-normal,mu=-3.51,sigma=0.35,"(0,inf)"
k_supply,Log-normal,mu=-2.21,sigma=0.29,"(0,inf)"
alpha,Log-normal,mu=-0.16,sigma=0.22,"(0,inf)"
beta,Log-normal,mu=0.18,sigma=0.26,"(0,inf)"
gamma,Beta,alpha=4.5,beta=1.5,"[0,2]"
gamma_T,Beta,alpha=3.8,beta=2.2,"[0,0.5]"
mu,Gamma,alpha=5.2,beta=0.15,"(0,inf)"
theta,Log-normal,mu=-2.12,sigma=0.33,"(0,inf)"
phi,Beta,alpha=4.2,beta=2.8,"[0,1]"
delta_threat,Log-normal,mu=-2.53,sigma=0.26,"(0,inf)"
gamma_threat,Beta,alpha=3.5,beta=2.5,"[0,1]"
S_threat_min,Beta,alpha=4.8,beta=3.2,"[0,1]"
eta,Beta,alpha=4.1,beta=2.4,"[0,1]"
nu,Beta,alpha=3.9,beta=2.6,"[0,1]"
xi_prep,Beta,alpha=6.2,beta=3.8,"[0,1]"
xi_resist,Beta,alpha=8.5,beta=2.5,"[0,1]"
xi_restore,Beta,alpha=5.1,beta=4.9,"[0,1]"
xi_adapt,Beta,alpha=4.8,beta=5.2,"[0,1]"
psi_prep,Beta,alpha=5.6,beta=4.4,"[0,1]"
psi_res,Beta,alpha=4.9,beta=5.1,"[0,1]"
psi_rest,Beta,alpha=6.8,beta=3.2,"[0,1]"
psi_supply,Beta,alpha=4.2,beta=5.8,"[0,1]"
