expert_id,parameter,value
E01,k_prep,0.06
E02,k_prep,0.05
E03,k_prep,0.04
E04,k_prep,0.07
E05,k_prep,0.05
E06,k_prep,0.03
E07,k_prep,0.06
E08,k_prep,0.04
E09,k_prep,0.08
E10,k_prep,0.06
E11,k_prep,0.05
E12,k_prep,0.04
E13,k_prep,0.07
E14,k_prep,0.05
E15,k_prep,0.06
E01,k_resist,0.08
E02,k_resist,0.07
E03,k_resist,0.06
E04,k_resist,0.09
E05,k_resist,0.07
E06,k_resist,0.05
E07,k_resist,0.08
E08,k_resist,0.06
E09,k_resist,0.10
E10,k_resist,0.08
E11,k_resist,0.07
E12,k_resist,0.06
E13,k_resist,0.09
E14,k_resist,0.07
E15,k_resist,0.08
E01,k_restore,0.15
E02,k_restore,0.12
E03,k_restore,0.10
E04,k_restore,0.18
E05,k_restore,0.12
E06,k_restore,0.08
E07,k_restore,0.14
E08,k_restore,0.11
E09,k_restore,0.20
E10,k_restore,0.15
E11,k_restore,0.12
E12,k_restore,0.10
E13,k_restore,0.16
E14,k_restore,0.13
E15,k_restore,0.14
E01,k_adapt,0.03
E02,k_adapt,0.02
E03,k_adapt,0.02
E04,k_adapt,0.04
E05,k_adapt,0.03
E06,k_adapt,0.01
E07,k_adapt,0.04
E08,k_adapt,0.03
E09,k_adapt,0.05
E10,k_adapt,0.04
E11,k_adapt,0.03
E12,k_adapt,0.02
E13,k_adapt,0.05
E14,k_adapt,0.03
E15,k_adapt,0.04
E01,k_supply,0.12
E02,k_supply,0.10
E03,k_supply,0.09
E04,k_supply,0.15
E05,k_supply,0.11
E06,k_supply,0.08
E07,k_supply,0.12
E08,k_supply,0.10
E09,k_supply,0.14
E10,k_supply,0.13
E11,k_supply,0.11
E12,k_supply,0.09
E13,k_supply,0.14
E14,k_supply,0.11
E15,k_supply,0.12
E01,alpha,0.92
E02,alpha,0.80
E03,alpha,0.78
E04,alpha,0.95
E05,alpha,0.82
E06,alpha,0.70
E07,alpha,0.88
E08,alpha,0.80
E09,alpha,1.05
E10,alpha,0.90
E11,alpha,0.83
E12,alpha,0.78
E13,alpha,0.94
E14,alpha,0.84
E15,alpha,0.88
E01,beta,1.35
E02,beta,1.18
E03,beta,1.10
E04,beta,1.42
E05,beta,1.20
E06,beta,1.02
E07,beta,1.28
E08,beta,1.12
E09,beta,1.50
E10,beta,1.30
E11,beta,1.18
E12,beta,1.08
E13,beta,1.38
E14,beta,1.20
E15,beta,1.25
E01,gamma,0.98
E02,gamma,0.90
E03,gamma,0.86
E04,gamma,1.05
