parameter,final_value,ci80_low,ci80_high,final_cv_pct
k_prep,0.05,0.035,0.065,15.2
k_resist,0.07,0.049,0.091,12.4
k_restore,0.12,0.084,0.156,16.8
k_adapt,0.03,0.021,0.039,14.6
k_supply,0.11,0.077,0.143,14.2
alpha,0.85,0.60,1.11,10.5
beta,1.20,0.84,1.56,11.2
gamma,0.90,0.63,1.17,10.8
gamma_T,0.15,0.10,0.20,14.8
mu,0.80,0.56,1.04,10.2
theta,0.12,0.084,0.156,14.5
phi,0.25,0.17,0.33,12.8
delta_threat,0.08,0.056,0.104,13.2
gamma_threat,0.35,0.25,0.46,13.6
S_threat_min,0.10,0.07,0.13,12.4
eta,0.45,0.32,0.58,11.8
nu,0.30,0.21,0.39,12.5
xi_prep,0.42,0.32,0.52,8.2
xi_resist,0.68,0.58,0.78,6.8
xi_restore,0.31,0.22,0.40,9.4
xi_adapt,0.25,0.17,0.33,10.6
psi_prep,0.28,0.20,0.36,9.8
psi_res,0.22,0.15,0.29,10.4
psi_rest,0.35,0.26,0.44,9.2
psi_supply,0.18,0.12,0.24,11.6
tau_prep,2.5,2.0,3.0,8.4
tau_res,3.0,2.5,3.5,7.6
tau_rest,2.0,1.5,2.5,9.2
tau_supply,4.0,3.0,5.0,10.5
S_prep_0,0.15,0.10,0.20,9.8
S_resist_0,0.20,0.15,0.25,7.6
S_restore_0,0.12,0.08,0.16,10.8
S_adapt_0,0.08,0.05,0.12,13.2
S_supply_0,0.10,0.06,0.15,12.6
